,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
931,2,3,6,16,16,53,32,44,51,43,46,52,50,60,49,49,65,541,3
932,2,3,6,16,17,16,10,4,4,8,6,9,8,3,16,7,17,92,3
933,2,3,6,16,18,29,30,43,37,43,38,40,36,33,40,45,47,432,3
934,2,3,6,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3
935,2,3,6,16,20,6,9,6,6,6,8,8,2,9,7,21,25,107,3
936,2,3,6,16,10,42,37,33,43,34,39,29,27,26,38,27,39,372,3
937,2,3,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
938,2,3,7,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3
939,2,3,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3
940,2,3,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
941,2,3,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3
942,2,3,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
943,2,3,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
944,2,3,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
945,2,3,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3
946,2,3,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
947,2,3,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3
948,2,3,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
949,2,3,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
950,2,3,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
951,2,3,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
952,2,3,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3
953,2,3,8,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3
954,2,3,8,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
