,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster_km,Cluster_birch
103,5,3,1,1,1,1,1,6,1,1,1,1,1,0
104,4,3,1,1,1,1,1,1,1,1,1,1,1,0
105,5,3,1,1,1,1,1,4,1,1,1,1,1,0
106,2,3,1,1,1,1,1,3,1,1,1,1,1,0
107,3,3,1,1,1,1,1,4,1,1,1,1,1,0
108,4,3,1,1,1,1,1,4,1,1,1,1,1,0
109,5,3,1,1,1,1,1,5,1,1,1,1,1,0
110,1,3,1,1,1,1,1,3,1,1,1,1,1,0
111,2,3,1,1,1,1,1,5,1,1,1,1,1,0
112,3,3,1,1,1,1,1,6,1,1,1,1,1,0
113,4,3,1,1,1,1,1,7,1,1,1,1,1,0
114,5,3,1,1,1,1,1,3,1,1,1,1,1,0
115,1,3,1,1,1,1,1,4,1,1,1,1,1,0
116,2,3,1,1,1,1,1,5,1,1,1,1,1,0
117,3,3,1,1,1,1,1,2,1,1,1,1,1,0
118,4,3,1,1,1,1,1,4,1,1,1,1,1,0
119,5,3,1,1,1,1,1,4,1,1,1,1,1,0
120,1,3,1,1,1,1,1,3,1,1,1,1,1,0
121,2,3,1,1,1,1,1,6,1,1,1,1,1,0
122,3,3,1,1,1,1,1,4,1,1,1,1,1,0
123,4,3,1,1,1,1,1,3,1,1,1,1,1,0
124,1,3,1,1,1,1,1,5,1,1,1,1,1,0
125,2,3,1,1,1,1,1,2,1,1,1,1,1,0
126,4,3,1,1,1,1,1,3,1,1,1,1,1,0
127,3,3,1,1,1,1,1,5,1,1,1,1,1,0
128,4,3,1,1,1,1,1,2,1,1,1,1,1,0
129,5,3,1,1,1,1,1,2,1,1,1,1,1,0
130,1,3,1,1,1,1,1,2,1,1,1,1,1,0
131,2,3,1,1,1,1,1,4,1,1,1,1,1,0
132,3,3,1,1,1,1,1,2,1,1,1,1,1,0
133,4,3,1,1,1,1,1,2,1,1,1,1,1,0
134,5,3,1,1,1,1,1,5,1,1,1,1,1,0
135,1,3,1,1,1,1,1,6,1,1,1,1,1,0
136,2,3,1,1,1,1,1,4,1,1,1,1,1,0
137,3,3,1,1,1,1,1,3,1,1,1,1,1,0
138,4,3,1,1,1,1,1,3,1,1,1,1,1,0
139,5,3,1,1,1,1,1,1,1,1,1,1,1,0
140,1,3,1,1,1,1,1,1,1,1,1,1,1,0
141,2,3,1,1,1,1,2,10,1,1,1,1,1,0
142,3,3,1,1,1,1,1,2,1,1,1,1,1,0
143,1,3,1,1,1,1,2,5,1,1,1,1,1,0
144,2,3,1,1,1,1,1,4,1,1,1,1,1,0
145,3,3,1,1,1,1,1,4,1,1,1,1,1,0
146,4,3,1,1,1,1,1,4,1,1,1,1,1,0
147,5,3,1,1,1,1,1,2,1,1,1,1,1,0
148,1,3,1,1,1,1,1,2,1,1,1,1,1,0
149,3,3,1,1,1,1,1,3,1,1,1,1,1,0
150,1,3,1,1,1,1,1,2,1,1,1,1,1,0
151,2,3,1,1,1,1,1,3,1,1,1,1,1,0
152,3,3,1,1,1,1,1,5,1,1,1,1,1,0
153,4,3,1,1,1,1,1,3,1,1,1,1,1,0
154,5,3,1,1,1,1,1,2,1,1,1,1,1,0
155,1,3,1,1,1,1,1,5,1,1,1,1,1,0
156,2,2,1,1,1,1,1,1,1,1,1,1,1,0
157,3,2,1,1,1,1,1,1,1,1,1,1,1,0
158,4,3,1,1,1,1,2,3,1,1,1,1,1,0
159,2,3,1,1,1,1,1,6,1,1,1,1,1,0
160,3,3,1,1,1,1,1,3,1,1,1,1,1,0
161,5,3,1,1,1,1,1,4,1,1,1,1,1,0
162,1,3,1,1,1,1,1,4,1,1,1,1,1,0
163,3,3,1,1,1,1,1,3,1,1,1,1,1,0
164,4,3,1,1,1,1,1,3,1,1,1,1,1,0
165,5,3,1,1,1,1,1,4,1,1,1,1,1,0
166,1,2,1,1,1,1,1,4,1,1,1,1,1,0
167,2,2,1,1,1,1,1,4,1,1,1,1,1,0
168,3,3,1,1,1,1,1,3,1,1,1,1,1,0
169,5,3,1,1,1,1,1,4,1,1,1,1,1,0
170,1,3,1,1,1,1,1,6,1,1,1,1,1,0
171,2,3,1,1,1,1,1,5,1,1,1,1,1,0
172,3,3,1,1,1,1,1,4,1,1,1,1,1,0
173,4,2,1,1,1,2,2,1,1,1,1,1,1,0
174,5,3,1,1,1,2,2,2,1,1,1,1,1,0
175,1,3,1,1,1,1,1,3,1,1,1,1,1,0
176,2,3,1,1,1,1,1,2,1,1,1,1,1,0
177,3,3,1,1,1,1,1,2,1,1,1,1,1,0
178,4,3,1,1,1,1,1,4,1,1,1,1,1,0
179,5,3,1,1,1,1,1,3,1,1,1,1,1,0
180,1,3,1,1,1,1,1,4,1,1,1,1,1,0
181,2,3,1,1,1,1,1,2,1,1,1,1,1,0
182,3,3,1,1,1,1,1,4,1,1,1,1,1,0
183,4,3,1,1,1,1,1,4,1,1,1,1,1,0
184,1,3,1,1,1,1,1,3,1,1,1,1,1,0
185,2,3,1,1,1,1,1,4,1,1,1,1,1,0
186,3,2,1,1,1,1,1,3,1,1,1,1,1,0
187,4,3,1,1,1,1,1,2,1,1,1,1,1,0
188,5,3,1,1,1,1,1,2,1,1,1,1,1,0
189,1,2,1,1,1,1,1,3,1,1,1,1,1,0
190,2,3,1,1,1,1,1,3,1,1,1,1,1,0
191,3,3,1,1,1,1,1,2,1,1,1,1,1,0
192,5,3,1,1,1,1,1,4,1,1,1,1,1,0
193,1,3,1,1,1,1,1,5,1,1,1,1,1,0
194,2,3,1,1,1,1,1,4,1,1,1,1,1,0
195,3,3,1,1,1,1,1,3,1,1,1,1,1,0
196,4,3,1,1,1,1,1,3,1,1,1,1,1,0
197,5,3,1,1,1,1,1,4,1,1,1,1,1,0
198,1,3,1,1,1,2,2,2,1,1,1,1,1,0
199,2,3,1,1,1,1,1,3,1,1,1,1,1,0
200,3,2,1,1,1,1,1,4,1,1,1,1,1,0
201,4,3,1,1,1,1,1,5,1,1,1,1,1,0
202,5,3,1,1,1,1,1,1,1,1,1,1,1,0
203,1,3,1,1,1,1,1,4,1,1,1,1,1,0
204,2,3,1,1,1,1,1,2,1,1,1,1,1,0
205,3,2,1,1,1,1,1,5,1,1,1,1,1,0
206,4,2,1,1,1,2,2,3,1,1,1,1,1,0
207,5,2,1,1,1,1,1,6,1,1,1,1,1,0
208,1,3,1,1,1,1,1,5,1,1,1,1,1,0
209,2,3,1,1,1,1,1,5,1,1,1,1,1,0
210,3,3,1,1,1,1,1,3,1,1,1,1,1,0
211,4,3,1,1,1,1,1,4,1,1,1,1,1,0
212,5,3,1,1,1,1,1,3,1,1,1,1,1,0
213,2,3,1,1,1,1,1,5,1,1,1,1,1,0
214,3,3,1,1,1,1,1,2,1,1,1,1,1,0
215,4,3,1,1,1,1,1,4,1,1,1,1,1,0
216,5,3,1,1,1,1,1,5,1,1,1,1,1,0
217,1,3,1,1,1,1,1,4,1,1,1,1,1,0
218,2,3,1,1,1,1,1,2,1,1,1,1,1,0
219,4,3,1,1,1,1,1,5,1,1,1,1,1,0
